"CNTSTUID","ST097Q01TA","ST218Q03HA","ST218Q02HA","ST218Q06HA","ST218Q04HA","ST206Q04HA","ST206Q02HA","ST153Q03HA","ST176Q06IA","ST206Q01HA","ST176Q06IA_scaled","ST153Q03HA_scaled","Communication_Score","Collaboration_Score"
800251,4,4,4,4,4,3,3,1,5,3,4,4,4,3.4
800402,4,3,3,3,3,2,2,1,4,1,3.25,4,3.2,2.45
801902,4,2,3,4,3,4,4,1,3,4,2.5,4,3.2,3.7
803546,2,3,3,3,3,3,3,1,3,3,2.5,4,2.8,3.1
804776,4,4,4,4,4,3,3,1,5,3,4,4,4,3.4
804825,3,3,3,3,3,3,3,2,1,2,1,1,3,2
805287,4,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,3.5,1
805601,4,3,3,3,2,2,3,1,4,4,3.25,4,3,3.25
801174,4,3,3,3,3,4,4,1,4,4,3.25,4,3.2,3.85
801782,3,3,3,3,3,3,3,1,2,3,1.75,4,3,2.95
802572,3,3,3,4,4,3,4,2,2,3,1.75,1,3.4,2.55
802883,3,4,4,4,3,4,4,2,2,3,1.75,1,3.6,2.75
801923,3,1,1,3,2,3,3,1,5,3,4,4,2,3.4
801941,4,4,4,4,4,3,4,1,5,3,4,4,4,3.6
802589,4,3,3,3,3,4,4,1,4,4,3.25,4,3.2,3.85
802995,3,3,3,3,3,2,2,1,4,2,3.25,4,3,2.65
803956,2,3,3,3,3,3,3,2,5,3,4,1,2.8,2.8
805071,3,3,3,3,3,3,3,1,1,2,1,4,3,2.6
805176,4,3,3,3,3,3,3,1,3,3,2.5,4,3.2,3.1
805498,3,3,3,3,4,4,4,2,3,3,2.5,1,3.2,2.9
805523,4,3,3,3,3,3,3,NA,3,3,2.5,NA,3.2,2.875
806618,4,3,3,4,3,3,3,1,2,3,1.75,4,3.4,2.95
806655,3,2,1,2,1,1,2,1,3,1,2.5,4,1.8,2.1
806704,1,4,3,3,3,4,4,1,4,4,3.25,4,2.8,3.85
801005,4,NA,NA,2,4,3,3,1,2,3,1.75,4,3.33333333333333,2.95
801598,4,3,3,4,4,3,3,1,3,3,2.5,4,3.6,3.1
801975,2,4,4,4,4,2,2,1,3,2,2.5,4,3.6,2.5
804349,1,4,4,4,4,4,4,1,3,4,2.5,4,3.4,3.7
804852,4,3,3,3,3,3,3,1,4,3,3.25,4,3.2,3.25
805039,4,4,3,3,3,3,3,2,2,3,1.75,1,3.4,2.35
805593,4,3,3,3,3,2,2,NA,5,2,4,NA,3.2,2.5
805615,4,3,4,3,4,4,4,2,5,4,4,1,3.6,3.4
805920,3,4,3,4,4,4,4,1,3,4,2.5,4,3.6,3.7
806072,3,1,3,3,3,2,2,1,2,1,1.75,4,2.6,2.15
806205,3,3,3,3,3,3,3,1,2,3,1.75,4,3,2.95
800027,4,3,3,3,3,3,3,1,4,3,3.25,4,3.2,3.25
800127,3,3,3,3,3,4,4,1,5,4,4,4,3,4
800133,4,3,4,4,3,3,3,1,2,3,1.75,4,3.6,2.95
800335,3,3,3,3,2,4,3,1,4,2,3.25,4,2.8,3.25
800517,4,4,4,4,4,4,4,1,4,4,3.25,4,4,3.85
800551,2,3,2,3,3,2,2,1,3,3,2.5,4,2.6,2.7
801257,4,2,NA,2,2,4,2,1,2,1,1.75,4,2.5,2.55
801906,3,3,4,3,3,2,3,1,3,3,2.5,4,3.2,2.9
802711,3,4,3,3,4,3,3,2,4,3,3.25,1,3.4,2.65
802927,4,3,3,3,3,3,3,1,2,3,1.75,4,3.2,2.95
803091,4,3,3,3,3,3,3,1,4,3,3.25,4,3.2,3.25
803173,4,4,4,NA,3,4,4,1,3,3,2.5,4,3.75,3.5
803525,4,4,4,3,4,3,3,1,2,3,1.75,4,3.8,2.95
803655,4,NA,3,3,3,3,3,1,4,3,3.25,4,3.25,3.25
803808,4,3,3,3,3,4,4,1,3,4,2.5,4,3.2,3.7
804854,3,1,3,4,3,3,2,NA,2,3,1.75,NA,2.8,2.4375
806387,4,2,4,4,3,3,3,2,5,2,4,1,3.4,2.6
806470,4,3,3,3,3,2,2,1,2,2,1.75,4,3.2,2.35
806803,4,3,3,2,3,2,2,1,2,2,1.75,4,3,2.35
803290,4,4,4,3,4,4,3,1,2,4,1.75,4,3.8,3.35
806230,4,2,2,3,3,4,4,1,2,4,1.75,4,2.8,3.55
806702,4,4,3,4,4,3,4,1,3,4,2.5,4,3.8,3.5
800695,1,2,3,3,4,3,3,2,4,2,3.25,1,2.6,2.45
801085,4,3,3,3,2,3,3,1,5,3,4,4,3,3.4
802058,4,4,4,4,4,4,4,1,5,4,4,4,4,4
802716,4,2,2,2,1,4,2,2,3,1,2.5,1,2.2,2.1
802984,4,NA,3,NA,2,4,2,1,4,1,3.25,4,3,2.85
803957,4,4,4,4,4,4,4,1,5,4,4,4,4,4
804163,4,3,3,3,3,2,2,1,2,2,1.75,4,3.2,2.35
805219,4,3,3,3,3,3,3,1,4,3,3.25,4,3.2,3.25
805870,4,1,1,1,1,NA,NA,NA,NA,2,NA,NA,1.6,2
800108,2,4,3,4,4,2,2,2,5,2,4,1,3.4,2.2
800220,3,3,3,3,3,3,3,1,3,3,2.5,4,3,3.1
800333,4,3,3,3,3,3,3,1,5,3,4,4,3.2,3.4
800543,4,4,4,3,3,4,3,1,4,3,3.25,4,3.6,3.45
800586,4,3,4,3,3,4,4,1,5,4,4,4,3.4,4
800743,4,4,4,4,4,3,3,2,1,3,1,1,4,2.2
800781,4,3,3,3,3,3,3,2,2,3,1.75,1,3.2,2.35
801345,4,3,3,3,3,4,4,1,3,4,2.5,4,3.2,3.7
801482,3,3,3,4,4,2,2,2,3,2,2.5,1,3.4,1.9
801610,4,3,3,3,3,3,3,2,5,3,4,1,3.2,2.8
801641,3,NA,3,3,4,3,3,2,5,4,4,1,3.25,3
801750,3,4,4,4,4,2,2,2,4,3,3.25,1,3.8,2.25
801929,2,4,4,4,4,2,2,2,5,2,4,1,3.6,2.2
802253,4,4,4,4,4,3,2,1,5,2,4,4,4,3
802260,4,3,3,3,3,3,3,1,5,3,4,4,3.2,3.4
802268,3,NA,3,3,3,4,4,1,3,3,2.5,4,3,3.5
802354,3,3,4,3,3,2,3,2,2,2,1.75,1,3.2,1.95
